mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
03-2022,2053.76,30.91,-5.95,18.12,75.53,80.0,40.0,40.0,50.0,1.05,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
03-2022,2028.75,29.95,-4.72,14.8,78.89,86.0,34.0,52.0,39.53,0.96,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
03-2022,1919.45,15.87,-4.98,17.37,136.51,158.0,60.0,98.0,37.97,0.49,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
03-2022,1910.13,37.13,-3.65,17.24,152.12,183.0,65.0,118.0,35.52,0.45,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
03-2022,1839.75,60.82,-5.22,25.68,108.26,139.0,41.0,98.0,29.5,0.61,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
03-2022,1804.93,32.14,-4.72,15.06,76.69,87.0,30.0,57.0,34.48,0.81,2 -5 0 -10.0 0 2.8 20 20 312 216 10 50 45
03-2022,1783.21,18.57,-4.98,20.69,132.65,163.0,59.0,104.0,36.2,0.43,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
03-2022,1640.58,49.01,-4.91,22.06,90.37,123.0,47.0,76.0,38.21,0.55,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
03-2022,1614.0,25.48,-3.92,22.31,94.72,130.0,40.0,90.0,30.77,0.47,2 -5 0 -10.0 10 2.4 40 20 312 216 10 50 45
03-2022,1597.63,45.12,-5.7,26.99,62.4,83.0,32.0,51.0,38.55,0.77,2 -5 0 -10.0 5 2.8 40 20 312 216 10 50 45
03-2022,1580.77,21.08,-4.9,18.14,82.23,97.0,38.0,59.0,39.18,0.57,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
03-2022,1555.55,18.32,-4.45,22.2,121.1,158.0,53.0,105.0,33.54,0.36,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
03-2022,1541.82,52.88,-4.28,27.71,107.81,153.0,57.0,96.0,37.25,0.41,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
03-2022,1527.93,19.15,-4.9,16.98,96.12,111.0,45.0,66.0,40.54,0.47,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
03-2022,1498.2,51.23,-4.9,18.51,93.49,122.0,46.0,76.0,37.7,0.47,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
03-2022,1462.39,34.11,-3.18,18.06,142.9,190.0,61.0,129.0,32.11,0.29,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
03-2022,1452.81,34.3,-4.89,17.61,131.1,169.0,61.0,108.0,36.09,0.31,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
03-2022,1444.53,34.11,-5.06,21.94,143.53,189.0,69.0,120.0,36.51,0.29,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
03-2022,1442.94,30.62,-3.91,24.17,134.17,189.0,66.0,123.0,34.92,0.27,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
03-2022,1412.93,46.22,-3.16,34.56,155.64,242.0,73.0,169.0,30.17,0.23,2 -5 0 -10.0 10 1.6 40 20 312 216 10 50 45
03-2022,1394.35,40.74,-4.95,21.26,199.16,270.0,93.0,177.0,34.44,0.2,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
03-2022,1391.63,18.2,-3.04,22.46,138.27,191.0,57.0,134.0,29.84,0.24,2 -5 0 -10.0 10 2.0 40 20 312 216 10 50 45
03-2022,1386.21,30.3,-6.71,21.09,66.94,89.0,34.0,55.0,38.2,0.5,2 -5 0 -10.0 10 2.8 20 20 312 216 10 50 45
03-2022,1384.76,23.72,-3.5,14.95,161.59,212.0,70.0,142.0,33.02,0.22,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
03-2022,1379.91,45.95,-6.91,24.59,76.76,106.0,33.0,73.0,31.13,0.47,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
03-2022,1377.68,17.6,-3.0,14.2,193.17,263.0,87.0,176.0,33.08,0.18,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
03-2022,1374.65,18.09,-8.49,23.07,67.06,86.0,31.0,55.0,36.05,0.5,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
03-2022,1351.01,26.5,-3.16,34.69,191.49,302.0,99.0,203.0,32.78,0.16,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
