mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
10-2021,3624.48,55.37,-5.32,25.89,256.11,288.0,104.0,184.0,36.11,0.56,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
10-2021,3435.82,154.84,-8.01,31.42,167.25,169.0,68.0,101.0,40.24,1.17,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
10-2021,3340.77,55.37,-3.22,34.3,292.11,321.0,103.0,218.0,32.09,0.49,2 -5 0 -10.0 5 1.6 30 20 312 216 10 50 45
10-2021,3234.88,164.76,-8.91,20.16,126.54,132.0,50.0,82.0,37.88,1.51,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
10-2021,3019.52,144.57,-8.01,22.57,149.8,153.0,69.0,84.0,45.1,1.15,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
10-2021,2558.22,55.37,-3.22,37.69,249.82,332.0,106.0,226.0,31.93,0.39,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
10-2021,2285.87,137.61,-8.91,33.8,124.29,130.0,44.0,86.0,33.85,1.12,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
10-2021,2275.49,164.76,-8.91,36.29,110.64,135.0,47.0,88.0,34.81,1.2,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
10-2021,2261.48,154.51,-8.07,34.08,133.17,170.0,65.0,105.0,38.24,0.91,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
10-2021,2126.55,56.89,-7.99,35.39,193.81,195.0,75.0,120.0,38.46,0.53,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
10-2021,2050.4,154.8,-8.02,28.28,120.43,157.0,63.0,94.0,40.13,0.91,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
10-2021,2026.97,63.82,-8.19,25.44,201.71,218.0,69.0,149.0,31.65,0.47,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
10-2021,1962.46,55.37,-6.33,33.85,218.08,262.0,96.0,166.0,36.64,0.38,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
10-2021,1950.16,55.37,-7.32,33.92,231.31,302.0,100.0,202.0,33.11,0.33,2 -5 0 -10.0 10 1.2 40 20 312 216 10 50 45
10-2021,1924.95,144.38,-8.91,38.65,105.59,127.0,46.0,81.0,36.22,1.03,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
10-2021,1884.89,43.73,-8.2,29.61,209.45,233.0,86.0,147.0,36.91,0.38,2 -5 0 -10.0 5 2.0 30 20 312 216 10 50 45
